평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000003,244033,금강대학교 원각도서관,충남,논산시,135301,2,145,1297,35791230
2022,LIBTYPE000003,247006,금오공과대학교 도서관,경북,구미시,547365,5,3094,25040,1051243309
2022,LIBTYPE000003,224006,기독간호대학교 도서관,광주,남구,35812,0,166,890,29424845
2022,LIBTYPE000003,247008,김천대학교 도서관,경북,김천시,320314,2,308,10478,132756153
2022,LIBTYPE000003,241057,김포대학교 도서관,경기,김포시,124742,0,100,5459,25614060
2022,LIBTYPE000003,248033,김해대학교 도서관,경남,김해시,40521,1,181,1580,22975331
2022,LIBTYPE000003,244014,나사렛대학교 도서관,충남,천안시,415766,2,1411,19240,284999930
2022,LIBTYPE000003,224018,남부대학교 도서관,광주,광산구,128048,2,479,6626,192980359
2022,LIBTYPE000003,244021,남서울대학교 도서관,서울,천안시,899749,3,954,19479,609683973
2022,LIBTYPE000003,241010,농협대학교 도서관,경기,고양시,45637,0,194,1694,26155810
2022,LIBTYPE000003,241099,능인대학원대학교 도서관,경기,화성시,6586,0,4,15,617900
2022,LIBTYPE000003,244006,단국대학교 율곡기념도서관,충남,천안시,879726,8,2408,17872,285510599
2022,LIBTYPE000003,211017,단국대학교 퇴계기념중앙도서관,경기,용인시,1148725,8,3924,83576,2332362012
2022,LIBTYPE000003,247025,대경대학교 도서관,경북,경산시,158523,2,417,25851,85327000
2022,LIBTYPE000003,222007,대구가톨릭대학교 루가(의학)도서관,대구,남구,29711,2,462,2491,735662915
2022,LIBTYPE000003,227002,대구가톨릭대학교 신학도서관,대구,중구,158871,0,275,8161,49569470
2022,LIBTYPE000003,247023,대구가톨릭대학교 중앙도서관,대구,경산시,1164546,6,5036,82712,748353778
2022,LIBTYPE000003,327005,대구경북과학기술원 학술정보관,대구,달성군,248520,2,1231,12485,2080360929
2022,LIBTYPE000003,222008,대구공업대학교 도서관,대구,달서구,112454,1,16,443,35999170
2022,LIBTYPE000003,222011,대구과학대학교 영송중앙도서관,대구,북구,161975,2,559,26493,91487780
2022,LIBTYPE000003,222009,대구교육대학교 도서관,대구,남구,338659,4,1081,8693,189193378
2022,LIBTYPE000003,247009,대구대학교 도서관,대구,경산시,1574452,10,5197,44705,1051248571
2022,LIBTYPE000003,222010,대구보건대학교 도서관,대구,북구,255368,2,1084,6456,166598874
2022,LIBTYPE000003,222020,대구사이버대학교 전자도서관,대구,경산시,17680,0,1243,8169,37284000
2022,LIBTYPE000003,247026,대구예술대학교 학술정보원,대구,칠곡군,122748,3,131,860,10941380
2022,LIBTYPE000003,247004,대구한의대학교 학술정보원,대구,경산시,661373,3,2624,29109,390000000
2022,LIBTYPE000003,225011,대덕대학교 도서관,대전,유성구,191199,2,548,6017,115199940
2022,LIBTYPE000003,221004,대동대학교 도서관,부산,금정구,55766,1,319,2453,23157000
2022,LIBTYPE000003,241011,대림대학교 도서관,경기,안양시,212441,1,891,9888,170015990
2022,LIBTYPE000003,247010,"대신대학교 도서관 (경북, 경산)",경북,경산시,115711,1,250,4534,28347330
2022,LIBTYPE000003,243015,대원대학교 도서관,충북,제천시,97001,1,313,3944,75775000
2022,LIBTYPE000003,244022,대전가톨릭대학교 도서관,세종,전의면,150493,2,99,6243,41688146
2022,LIBTYPE000003,225005,대전과학기술대학교 도서관,대전,서구,355312,1,447,5867,21495967
2022,LIBTYPE000003,225002,대전대학교 중앙도서관,대전,동구,831533,6,2627,61012,693800649
2022,LIBTYPE000003,225003,대전보건대학교 도서관,대전,동구,249578,1,580,3464,146498053
2022,LIBTYPE000003,225015,대전신학대학교 학술정보관,대전,대덕구,78650,1,161,2022,6968710
